ID,Name,Manufacturer,Country,Min. Speed (Knots),Max Speed (Knots),Min. Endurance (Days),Max. Endurance (Days),Min. Endurance (Hours),Max. Endurance (Hours),Max. Length (m),Full D mensions (L×W×H),Endurance Description,Propulsion,Power,Speed Description,Sensors,Main Application,Comms,Sensor Suite,Communication,Crew Requirement,Certifications,MASS Level,Use Cases,Pros,Cons,Spec Sheet (URL),Source URL,Sources
47,Sea Hunter (MDUSV),Leidos / Vigor (DARPA),USA,27,27,30.00,90.00,720.00,2160.00,40,40 m × N/A × N/A ,30–90 days without resupply ,Twin diesel enginesshipspotting.com,N/A (diesel generators),27 knots (50 km/h),"Navigation radar, AIS, optical cameras; modular payload (e.g. towed sonar for ASW)",Long-endurance autonomous ASW surveillance & tracking,"Radio (LOS), satellite (BLOS)","Basic nav sensors (radar, GPS); can integrate ASW sonar & cameras",Largely autonomous navigation with sparse remote supervision,0 (Uncrewed prototype),N/A (Naval prototype; COLREGS compliance tested),Level 4 (fully autonomous operations),Anti-submarine warfare (continuous trail of submarines); long-range ISR patrols,Extreme endurance (months) and long rangeshipspotting.com; no onboard crew risk; proven autonomous navigation,Unarmed prototype (relies on other assets) and high development cost; experimental hull (trimaran) with limited beam (stability concerns) – secondary analysis,N/A (no public spec sheet),N/A (DARPA/ONR program),"ONR briefingmaritime.dot.gov (official); Shipspotting datashipspotting.com (secondary, estimated)"
48,Seagull USV,Elbit Systems,Israel,20,32,?,?,96.00,96.00,12,12 m × ~4 m × N/A,>96 h (4+ days) persistent  ,2× diesel engines driving twin propellers + bow thrusters,N/A (Caterpillar C7 diesels ~300 hp each),~32 knots max; 20 kn cruise,"Multi-mission sensor suite: Naval AESA radar, day/night EO turret, dipping sonar, side-scan or SAS sonar, mine detection sonar; ESM/ECM",Mine countermeasures (MCM) and anti-submarine warfare (ASW) modular missions,Dual communication: line-of-sight radio and SATCOM links,"Plug-and-play mission modules (towed arrays, torpedo launchers, 12.7 mm RCWS)",Operated from shore or mothership; can be controlled by one operator for two USVs; autonomous navigation & obstacle avoidance,0 (Uncrewed),Underwent NATO exercises; compliant with COLREGS and naval safety standards,Level 4 (highly autonomous with remote supervision),"Mine hunting & sweeping, submarine detection and engagement (torpedo launch), patrol and electronic warfare","Highly modular & armed – capable of MCM and ASW in one platform (torpedoes, guns); high autonomy (minimal operator load)",Moderate size limits endurance (~4 days max) and seakeeping beyond Sea State 4; dependency on reliable comms for real-time control of weapons,Brochure,Elbit Seagull page,Naval Tech profilenaval-technology.comnaval-technology.com (secondary); Elbit PRelbitsystems.comnaval-technology.com (official)
49,SEA-KIT X-Class,SEA-KIT International (UK),UK,3,6,95.00,95.00,2280.00,2280.00,11.75,11.75 m × 2.2 m × 0.72 m ,"95 days (?2,500–3,000 nmi with aux tanks) ",Diesel-electric with dual thrusters + azimuth ,"3,000 L fuel (expandable to 4,533 L) ",6 kn max; 3 kn economicalbairdmaritime.com,"Furuno marine radar, FLIR thermal camera, AIS; deployable AUV/ROV systems",Ultra-long-range ocean survey and surveillance; multi-mission “mother ship” for payloads,"VSAT broadband, Iridium Certus, 4G; global control via secure link","Multibeam sonar, winch for towed arrays (to 3,000 m depth); autonomous launch/recovery systems",Autonomous (Lloyd’s Register–certified design); remote helm station control,None onboard (Shore or mothership control),Lloyd’s Register Unmanned Marine Systems certifiedbairdmaritime.com,4,"Deep-sea mapping (e.g. Seabed 2030); persistent ISR for maritime security; subsea asset deployment (AUVs, towed sonar)",Exceptional endurance (proved Atlantic crossing); 2 t payload; class-approved for safety,Low top speed; requires reliable comm links; high initial cost (state-of-art technology),[SEA-KIT X-Class Spec]bairdmaritime.combairdmaritime.com,Baird Maritime reviewbairdmaritime.combairdmaritime.com,Baird Maritime (ThayerMahan X107T)bairdmaritime.combairdmaritime.com; LR certificationbairdmaritime.com
50,SEA-KIT X-class USV (e.g. Maxlimer),SEA-KIT International,UK,6,6,30.00,30.00,720.00,720.00,11.75,11.75 m × 2.2 m × 8.45 m (to mast top),30 days @ 7 kn (720 hr),Diesel-electric (diesel gen + 3 electric thrusters),31 kW drive power,6 knots max (survey speed),"X-band radar, CCTV cameras, AIS, weather sensors; supports AUV/ROV launch & sonar payloads","Long-range multi-purpose USV (oceanographic survey, ASW surveillance, payload mother-ship)","LOS radio, 4G/LTE; VSAT satellite comms (global reach)","High-end nav suite (INS, GPS); sensor integration for sonar (multibeam, SAS) or ISR modules",Fully autonomous route following with remote mission supervision (G-SAVI control),0 (Uncrewed),Lloyd’s Register UMS certified (first USV classed),Level 4 (long-duration fully autonomous ops with remote control center),"Deep ocean hydrographic survey, subsea asset inspection, marine data collection, unmanned cargo delivery",Ultra-long endurance (months range) and large payload (~2 t) capacity; first USV to complete remote transoceanic missions,"Slow speed (?6 kn) limits use in fast-response roles; narrow hull can affect stability in extreme seas; unarmed, primarily commercial focus",Brochure,SEA-KIT International (X-class),Geo-matching specsgeo-matching.comgeo-matching.com (secondary); SEA-KIT newsoffshore-energy.biz (official press)
51,SL40 Survey USV,OceanAlpha Co.,China,10,10,0.21,0.21,5.00,5.00,2,1.6 m–2.0 m class USV ( mall mono-hull) ,~5 hours (survey mission per charge),"Dual thrusters (electric), lithium battery system",Li-ion battery (rapid swap modular),~5 m/s top speed (?10 kn),"Single or multi-beam echosounder, ADCP, side-scan sonar, GNSS","Hydrographic survey, bathymetry mapping",UHF radio; 4G telemetry; optional satcom,"Central moonpool sensor mount (5–18 cm transducers), RTK GPS base",Remote manual control or autonomous line following (GPS),Uncrewed (remote operator + autonomy),–,MASS 3 (remote/autonomous survey),"Shallow-water surveys (ports, rivers); wind farm site surveys",Quick sensor swap via moonpool; proven MBES integration; stable at speed,Limited sea-state handling; relatively short endurance before recharge,–,OceanAlpha SL40 product page,OceanAlpha brochure (features)
52,TSUNAMI USV (24–28ft class),Textron Systems / Brunswick,USA,35,35,?,?,?,?,8.5,~7.5–8.5 m variants (be m ~2.5 m) – modular hull ,600–1000 nmi range (variant-dependent) ,Gasoline or diesel outboards (modular),N/A (low-cost COTS engines),~35 knots top; operable to Sea State 4breakingdefense.com,"EO/IR camera, navigation radar optional; can mount small payloads (e.g. sensors or weapons)","Multi-purpose littoral USV (ISR, logistics, force protection)","Encrypted radio, 4G/LTE; SATCOM optional","Standard nav suite (GPS, AIS); optional mission-specific sensors (e.g. sonar, RWS)",Remote-controlled or semi-autonomous (waypoint navigation),0 (Uncrewed),N/A (new design; built to meet COLREGS),Level 2/3 (remote with limited autonomy),"Harbor patrol, ISR scouting, unmanned logistics, swarm operations",Rapidly deployable & low-cost (small size)breakingdefense.com; scalable design (24–28 ft) for different missions,New/unproven – first shown 2025; limited payload and endurance vs. larger USVs (secondary source),N/A (see Textron site),Textron Systems TSUNAMI page,"Textron press releasebreakingdefense.comseapowermagazine.org (official); BreakingDefensebreakingdefense.com (secondary, specs)"
53,ULAQ Armed USV,Ares Shipyard & Meteksan,Turkey,35,35,1.00,1.00,24.00,24.00,11,11 m × ~2.2 m × N/Aares.global,400 km range (~216 nmi); endurance ~24 h patrol,Dual inboard diesels + waterjets (composite hull),N/A (~2× 450 hp est.),35 knots (65 km/h) topares.global,"Day/night EO-HD camera turret, navigation radar, encrypted GNSSares.global; laser designator; armed with 4× Cirit and 2× L-UMTAS missiles",Armed coastal defense and force protection USV,Encrypted digital radio link (LOS); satellite communication ,"Integrated combat suite: electro-optical gimbal, stabilized weapon stations for missiles, EW/jammer payload options",Remotely controlled from mobile station; autonomous waypoint navigation and AI-assisted targeting,0 (Uncrewed),Built to military standards; self-righting hullares.global,Level 3 (remote control with autonomous navigation),"Reconnaissance and surveillance, anti-surface warfare (missile strikes), escort missions, critical infrastructure defenseares.global",Heavily armed for size (guided missiles onboard) and multi-mission flexibilityares.global; advanced composites hull with low radar signature,Prototype-stage (as of 2023) – limited in-field service; moderate range (400 km) confines operations; reliant on comm link for weapon use,Brochure,Ares/Meteksan ULAQ page,Ares press releaseares.globalares.global (official); Naval Newsnavalnews.com (secondary)
54,US Navy LUSV,U.S. Navy / Multiple Vendors,USA,27,27,45.00,45.00,1080.00,1080.00,91,~60–91 m ×  m ×  m (design TBD),"“Weeks-long” (aim ~30–45 days; ~3,500 nmi) ",Commercial-based diesel propulsion (multiple generators),"~1,500–2,000 t displacement (modular payloads) ",~20–27 kn (expected),"Scalable sensor suite per mission module (e.g. combat radar, EW suite, ASW sonar)","Autonomous adjunct warship for fleet: scout, missile magazine, MCM, ASW picket","Military satellite networks (Link-16, CEC), line-of-sight radio","Modular “payload bay” systems (ASuW missiles, ASW sensors, etc.)",Human-in-the-loop for weapons; remote navigation with autonomous behaviors,None onboard (Optional crew for testing phases),– (Built to ABS commercial standards with naval add-ons)defensescoop.com,3,Long-range strike (carrying VLS missiles as extra magazine); anti-submarine warfare (towed arrays); ISR picket operations,High endurance unmanned combat vessel; reduces risk to sailors; reconfigurable for various missions,Not yet in service (developmental); command/control and ROE challenges; potential vulnerabilities if lost comms,(Program specification),Congressional Reportnews.usni.orgen.wikipedia.org,Wikipedia (LUSV concept)en.wikipedia.orgen.wikipedia.org; US Navy infonavsea.navy.mil
55,WAM-V 16,Marine Advanced Robotics (OPT),USA,11,11,0.31,0.31,7.50,7.50,5.3,5.3 m × 2.4 m × (~1.3 m) (twin-hull inflatable pontoon ASV) ,7.5 hours @ 5 kn,2 × 3 kW electric outboards (articulating suspension hulls),6 × 3.5 kWh Li-ion battery packs (up to ~21 kWh total),11 kts max,"GPS/INS navigation unit, forward 180° HD camera; optional multi-beam echo sounder, side-scan sonar, sub-bottom profiler, AIS transceiver","Coastal and inland water surveys; environmental monitoring; research & prototyping (small, easily deployable autonomous vessel for marine data collection)",Short-range radio control; secure Wi-Fi/mesh network link (encrypted),"Standard: GPS waypoint autopilot, MARCODE/ROCS control software; open payload interfaces for sensors (sonars, cameras, etc.)",Remote-controlled via line-of-sight radio; autonomous waypoint navigation with on-board autopilot (ROBO-Helm),0 (uncrewed; two-person team deploys/operates from shore or mother vessel),"– (Small craft; complies with USV safety standards, e.g., CE marking for electrical systems)",2–3 (Remote operation with autopilot; human operator actively monitoring – high level of remote control autonomy),Hydrographic mapping of shallow waters; harbor and estuary monitoring; rapid deployment for disaster response surveys; serving as testbed for autonomy and sensor integration,Highly portable (can be assembled by 2 people and launched from trailer or small boat); exceptional maneuverability (turns 360° within its own length); stable ride in rough water for its size (wave-adaptive suspension reduces pitch/roll); zero emissions and low noise operation (fully electric),"Limited endurance and range (?8 hours, short range LOS missions); modest payload capacity (~150–200 kg) which constrains sensor suite size; low top speed (11 knots) and susceptibility to strong currents; requires calm to moderate seas (Sea State 4 max) for effective operation",WAM-V 16 Product Sheet (Ocean Power Tech)oceanpowertechnologies.comoceanpowertechnologies.com,OPT WAM-V 16 Pageoceanpowertechnologies.comoceanpowertechnologies.com,oceanpowertechnologies.comoceanpowertechnologies.comoceanpowertechnologies.comoceanpowertechnologies.com
56,WAM-V 20,Marine Advanced Robotics (OPT),USA,15,15,?,?,?,?,6.1,6.1 m × ~3 m × (N/A) (wave-adaptive cat maran USV) ,Multi-day (400+ nm range) ,2 × gasoline outboard engines (efficient marine engines for long range),200 L fuel (est.) + solar trickle charging for batteries,15+ kts,"Marine radar, AIS receiver, GPS/INS; optional LiDAR and cameras for navigation/perception; supports modular sensor payloads and winches (similar to WAM-V 16, scaled up)",Long-endurance oceanographic missions and large-area surveys – capable of transiting hundreds of miles and deploying instruments in blue water,Satellite communications (Iridium) for over-the-horizon control; LOS radio and cellular when near support ship or coast,"High-endurance configuration with hybrid power: wave-adaptive hull plus long-range comms, suitable for persistent missions (TeamTao XPrize variant)","Autonomous/remote: can be piloted via satellite link from anywhere, or follow pre-programmed routes with periodic updates (minimal human intervention during mission)","0 (uncrewed; designed for completely autonomous missions, with remote monitoring)",– (Prototype delivered 2018 for XPrize; designed to meet regulations for unmanned craft transport and open-ocean operation),3 (Remotely piloted with autonomous capabilities – long-range supervised autonomy),Extended-duration ocean mapping (e.g. launching and recovering AUV swarms); persistent surveillance of Exclusive Economic Zones; deploying sensor networks in open ocean; mine countermeasure operations and anti-submarine warfare training (as a multi-mission USV),"Exceptional endurance (400+ nm, multi-day) for a USV of its size; high payload capacity (~272 kg) for sensors or drones; proven stability and performance in open-ocean conditions (successfully tested in high sea states); modular and containerizable (fits in standard 20? ISO container for transport)",Moderate speed (15 knots max) compared to manned craft; reliance on fuel (not zero-emission like smaller WAM-V) introduces refueling logistics and engine maintenance; larger footprint requires more launch effort than smaller ASVs (not hand-portable),WAM-V 20 (TeamTao) News Releaseunmannedsystemstechnology.com,UST Article – 20? WAM-V Endurance USVunmannedsystemstechnology.comunmannedsystemstechnology.com,unmannedsystemstechnology.comunmannedsystemstechnology.comunmannedsystemstechnology.com
57,Wave Glider SV3,Liquid Robotics (Boeing),USA,1.8,3,1.00,365.00,24.00,8760.00,3.05,Float: 3.05 m × 0.81 m × 0.23 m; Sub: 2.13 m × 1.42 m × 0.21 m ,Up to 12 months at sea (continuous) ,Wave-powered propulsion (wave foil on sub) + solar-fed battery for ,Solar panels (150 W) + 0.94?kWh battery ,1–3 knots (avg ~1.8 kn),"Weather station, anemometer, CTD, hydrophones, cameras (various ocean sensors)liquid-robotics.com",Open-ocean climate and oceanographic data collectioncomm-tec.com,Iridium satellite; optional 4G; Wi-Fi when near shorecomm-tec.com,"Modular sensor bays in float & sub; AIS receiver, wave sensor, water quality sensorscomm-tec.com",Fully autonomous navigation (waypoints via satellite link)comm-tec.com,Uncrewed (no crew; monitored via cloud link),Lloyd’s Register UMS certified (uncrewed system),MASS 4 (fully autonomous),Long-term ocean monitoring; weather & climate research; ASW ,Extreme endurance (1 year); no fuel required; very low noise signatureliquid-robotics.com,Very slow speed; limited to moderate sea states for effective wave propulsion; small payload capacity,comm-tec.com (Spec sheet PDF),Liquid Robotics Wave Glider spec,comm-tec.comliquid-robotics.com
58,Wave Glider SV3,Liquid Robotics (Boeing),USA,2,2.4,1.00,365.00,24.00,8760.00,3.05,3.05 m × 0.81 m × 0.23 m (surface float); 8 m tether; 2.13 m  ,Up to 12 months (continuous; mission-dependent) ,Wave-powered propulsion (wave energy drives submerged glider wings) + auxiliary electric ,2 × 100 W solar panels (225 W peak) charging 6.8 kWh ,"~0.8–2.0 kts (depends on wave state; max ~2 kts on wave power, ~2.4 kts with thruster)","Standard payloads: weather sensors (wind, barometer), wave sensor, AIS receiver, hydrophone, camera (as required); submersible sensor mounts (CTD, acoustics via optional winch)","Persistent ocean observation and monitoring – climate and weather data collection, sea surface and sub-surface measurements, long-range surveillance and communications ","Satellite (Iridium/RUDICS), cellular 4G, Wi-Fi, and LOS RF communications (automatically switches per vicinity)",Integrated Command & Control system (Wave Glider Management System) for over-the-horizon operation; supports fleet cloud management and real-time data feed to shore,"Fully autonomous navigation with supervisory control – can maintain station or navigate pre-set courses for months, with periodic remote updates via satellite",0 (no crew; operates continuously without human presence on-board),– (Numerous maritime deployments under various authorities; generally considered a “vessel” under COLREGs Rule 3),4 (Fully autonomous long-duration operation with minimal human intervention),"Climate research (air-sea interaction studies)comm-tec.com; oceanographic surveys (e.g. collecting temperature, salinity profiles)liquid-robotics.com; maritime domain awareness & security (long-term patrol and acoustic surveillance); acting as communications/data relay for underwater or surface  ","Unmatched endurance and persistence (operates 24×7 for up to a year on renewable wave/solar power)liquid-robotics.com; extremely low operating cost and zero fuel consumptioncomm-tec.com; proven reliability with hundreds of deployments in all ocean conditionscomm-tec.com; minimal environmental impact (quiet, no emissions, benign to marine life)",Very low speed and maneuverability (sluggish heading response)amme.journals.ekb.eg; struggles in strong currents or calm seas (depends on wave motion for primary propulsion)amme.journals.ekb.eg; cannot work in shallow water (<15 m depth)liquid-robotics.com; limited payload power and weight (6.8 kWh battery limits high-power sensors),Wave Glider SV3 Spec Sheetliquid-robotics.comnmssanctuaries.blob.core.windows.net,,
59,XO-450 USV,XOCEAN Ltd.,Ireland,4,7,18.00,18.00,432.00,432.00,4.5,4.5 m length; ~1.5 m be m (est.)  ,"18 days (1,512 nmi @ 4 kn) ",Diesel generator + battery hybrid; twin screws (electric drive),Diesel 16?hp generator + battery system,Cruise ~4 kn; max ~6–7 kn (est.),"Multibeam echosounder, GNSS RTK, INS, cameras (typical survey suite)","Offshore wind farm survey, EEZ mapping","Satellite (Iridium), 4G; UHF backup","High-res MBES (e.g., R2Sonic), AIS, marine radar for COLREGs",Remote operation via XOCEAN control center (over-the-horizon),Uncrewed (supervised by onshore pilots),– (Compliant with maritime rules via COLREGs),MASS 3 (remote with autonomy),Seabed mapping for hydrographic offices; wind farm cable surveys,Long endurance for size; low fuel use & emissions; proven in >100 projects,Limited to moderate sea states (4.5 m hull); slower transit speed than crewed vessels,–,XOCEAN XO-450 info,MarineLink interview (XOCEAN)
